user_id,signup_date,plan_type,portfolio_size,annual_revenue,is_active,nps_score,support_tickets_last_90d,success_manager_assigned,csm_id,renewal_due_date
1,2024-04-08,starter,1,143.89,True,6.0,0,0,,2026-04-08
2,2025-03-22,starter,40,177.41,False,-53.0,3,1,CSM009,2025-09-12
3,2024-08-14,starter,10,336.76,True,37.0,0,0,,2026-08-14
4,2024-02-09,starter,30,450.13,True,51.0,0,0,,2026-02-09
5,2025-06-18,pro,80,2172.85,True,24.0,1,1,CSM006,2026-06-18
6,2025-07-08,pro,15,988.59,False,-20.0,0,1,CSM001,2025-08-04
7,2024-06-13,pro,10,2041.85,True,34.0,0,1,CSM006,2026-06-13
8,2024-12-14,pro,1,2144.06,True,39.0,1,1,CSM006,2025-12-14
9,2024-05-12,pro,4,2127.34,False,-13.0,1,1,CSM015,2025-08-27
10,2024-08-07,pro,10,1803.32,True,4.0,0,1,CSM012,2026-08-07
11,2025-06-01,starter,25,563.96,True,41.0,5,0,,2026-06-01
12,2024-12-26,starter,40,316.94,True,40.0,4,1,CSM012,2025-12-26
13,2024-08-06,pro,5,1323.33,True,66.0,0,1,CSM010,2026-08-06
14,2025-07-11,starter,1,200.18,False,,0,0,,2025-09-24
15,2024-04-20,starter,4,593.4,True,55.0,0,1,CSM010,2026-04-20
16,2023-10-18,starter,60,374.51,True,65.0,0,1,CSM005,2025-10-18
17,2024-08-07,starter,3,167.4,False,,0,0,,2025-08-20
18,2024-03-01,starter,10,479.55,False,21.0,0,0,,2025-09-06
19,2024-11-20,starter,60,396.73,False,2.0,0,0,,2025-08-11
20,2024-12-05,premium,1,10517.07,True,42.0,0,1,CSM003,2025-12-05
21,2024-10-26,starter,20,537.63,False,-5.0,0,0,,2025-08-23
22,2023-11-24,starter,80,784.1,True,-1.0,0,0,,2025-11-24
23,2024-08-07,starter,3,389.49,False,3.0,1,1,CSM008,2025-08-02
24,2025-05-04,premium,15,9510.36,True,70.0,1,1,CSM015,2026-05-04
25,2024-06-11,pro,60,1966.98,False,12.0,0,0,,2025-09-30
26,2024-02-03,starter,2,233.65,False,-73.0,1,0,,2025-09-09
27,2024-02-04,pro,15,1115.44,True,-1.0,0,0,,2026-02-04
28,2024-03-09,starter,30,341.83,False,50.0,0,0,,2025-09-19
29,2024-09-24,pro,25,2066.83,True,91.0,1,1,CSM002,2026-09-24
30,2024-10-30,starter,10,564.97,False,-30.0,1,0,,2025-08-06
31,2025-06-21,starter,3,313.82,False,46.0,3,0,,2025-08-12
32,2024-07-27,starter,10,159.94,True,,0,0,,2026-07-27
33,2024-01-18,starter,5,418.56,False,10.0,0,0,,2025-08-18
34,2023-11-05,pro,10,3021.35,True,31.0,1,0,,2025-11-05
35,2024-10-28,premium,5,16292.83,True,56.0,4,1,CSM009,2025-10-28
36,2023-12-07,premium,50,19559.83,False,-70.0,0,1,CSM006,2025-09-18
37,2024-07-22,pro,30,3430.96,True,18.0,1,1,CSM014,2026-07-22
38,2024-07-16,starter,4,192.96,True,47.0,0,0,,2026-07-16
39,2025-01-31,starter,15,486.1,True,26.0,1,1,CSM005,2026-01-31
40,2024-08-20,premium,4,14375.27,True,66.0,4,1,CSM015,2026-08-20
41,2023-12-06,pro,10,1381.19,False,-5.0,0,0,,2025-08-04
42,2024-11-17,pro,5,1257.34,True,51.0,0,1,CSM005,2025-11-17
43,2024-05-08,starter,25,255.31,True,61.0,2,0,,2026-05-08
44,2024-09-07,pro,5,2123.54,True,,0,1,CSM015,2026-09-07
45,2025-02-27,pro,10,2692.2,True,49.0,3,1,CSM012,2026-02-27
46,2025-01-24,starter,30,410.02,False,23.0,2,0,,2025-08-21
47,2025-01-18,pro,5,1776.71,True,19.0,2,1,CSM002,2026-01-18
48,2024-01-08,starter,60,740.7,False,-15.0,0,0,,2025-09-22
49,2025-07-17,starter,3,171.57,False,6.0,4,0,,2025-09-11
50,2024-07-19,starter,30,482.48,True,45.0,0,0,,2026-07-19
51,2025-05-16,starter,10,455.1,True,61.0,4,0,,2026-05-16
52,2025-03-07,pro,10,932.16,True,-9.0,3,1,CSM015,2026-03-07
53,2024-05-23,starter,20,226.26,True,52.0,0,0,,2026-05-23
54,2025-02-27,starter,15,617.22,True,-12.0,0,0,,2026-02-27
55,2025-01-11,starter,5,588.82,False,7.0,3,0,,2025-09-23
56,2025-01-13,premium,0,3578.53,True,17.0,0,1,CSM014,2026-01-13
57,2024-10-12,pro,2,960.33,False,-18.0,1,0,,2025-08-03
58,2025-03-26,pro,25,1621.1,False,-27.0,3,1,CSM012,2025-08-10
59,2024-09-12,starter,15,541.47,False,18.0,0,0,,2025-09-13
60,2025-01-14,pro,25,3195.79,False,13.0,3,1,CSM014,2025-09-21
61,2024-06-24,pro,80,1549.1,True,,0,1,CSM012,2026-06-24
62,2024-02-17,starter,25,547.39,False,-40.0,0,1,CSM005,2025-08-22
63,2024-04-09,pro,1,749.9,True,-27.0,0,1,CSM002,2026-04-09
64,2025-01-24,pro,4,2607.24,True,30.0,1,1,CSM001,2026-01-24
65,2024-08-21,pro,20,2042.06,True,25.0,2,1,CSM003,2026-08-21
66,2023-09-07,pro,3,2091.44,True,,0,1,CSM014,2026-09-07
67,2025-02-18,starter,80,486.19,True,-7.0,3,1,CSM012,2026-02-18
68,2025-01-14,starter,80,516.33,True,19.0,2,0,,2026-01-14
69,2024-09-17,premium,50,5241.59,True,29.0,6,0,,2026-09-17
70,2024-01-06,pro,10,1909.44,True,26.0,0,1,CSM005,2026-01-06
71,2024-09-21,starter,50,517.52,False,-24.0,0,0,,2025-09-14
72,2024-08-13,pro,2,1702.49,True,16.0,0,1,CSM001,2026-08-13
73,2024-09-01,starter,4,243.65,True,22.0,2,0,,2026-09-01
74,2024-08-25,premium,10,22835.25,True,40.0,0,1,CSM004,2026-08-25
75,2024-01-14,starter,30,205.14,True,-21.0,1,0,,2026-01-14
76,2024-06-30,pro,10,1709.41,True,37.0,0,1,CSM014,2026-06-30
77,2024-01-21,pro,2,2780.39,False,,0,1,CSM014,2025-08-12
78,2023-12-11,starter,5,557.35,False,-43.0,1,0,,2025-09-21
79,2025-07-02,pro,4,842.42,False,13.0,3,1,CSM014,2025-08-02
80,2025-05-05,premium,4,20890.96,True,,3,1,CSM011,2026-05-05
81,2023-12-16,premium,2,11594.8,True,46.0,0,1,CSM013,2025-12-16
82,2024-06-15,starter,5,478.3,True,,0,1,CSM015,2026-06-15
83,2023-09-08,starter,10,135.11,True,-14.0,2,0,,2026-09-08
84,2024-04-13,starter,40,181.03,True,-4.0,1,0,,2026-04-13
85,2025-07-15,premium,40,6240.45,True,39.0,5,1,CSM012,2026-07-15
86,2024-02-27,premium,15,7323.52,True,23.0,0,1,CSM015,2026-02-27
87,2025-02-04,pro,10,2333.45,True,42.0,0,1,CSM014,2026-02-04
88,2025-06-17,starter,40,673.44,True,-5.0,4,0,,2026-06-17
89,2024-09-27,starter,50,184.52,True,-9.0,1,0,,2026-09-27
90,2024-12-19,premium,25,9728.32,False,-27.0,3,1,CSM013,2025-09-01
91,2023-09-06,pro,40,961.18,True,57.0,0,1,CSM003,2026-09-06
92,2025-04-15,starter,60,231.93,False,20.0,4,0,,2025-09-12
93,2023-09-02,premium,1,8668.18,True,29.0,0,1,CSM013,2026-09-02
94,2023-11-23,premium,50,29191.84,True,47.0,0,1,CSM001,2025-11-23
95,2024-02-24,starter,4,275.15,True,10.0,0,0,,2026-02-24
96,2024-03-26,starter,10,378.04,False,28.0,0,0,,2025-08-14
97,2023-12-28,pro,40,3584.16,True,54.0,0,1,CSM006,2025-12-28
98,2023-09-20,pro,30,2210.9,True,30.0,0,0,,2026-09-20
99,2024-01-05,starter,2,337.93,False,5.0,0,1,CSM012,2025-08-31
100,2024-11-28,pro,25,2148.95,True,,2,1,CSM009,2025-11-28
101,2025-05-08,pro,1,2972.65,True,31.0,4,0,,2026-05-08
102,2024-04-21,starter,5,294.0,False,11.0,1,0,,2025-08-14
103,2023-10-02,starter,40,504.26,True,,1,0,,2025-10-02
104,2025-05-02,starter,10,168.58,True,13.0,0,0,,2026-05-02
105,2025-04-05,pro,20,2488.69,False,-6.0,3,0,,2025-09-24
106,2023-09-26,starter,30,384.1,True,5.0,0,1,CSM014,2026-09-26
107,2024-02-25,premium,40,17386.25,False,-5.0,0,1,CSM002,2025-09-17
108,2024-02-12,starter,30,238.99,True,11.0,0,0,,2026-02-12
109,2024-04-16,starter,0,361.33,True,43.0,0,1,CSM012,2026-04-16
110,2024-01-13,starter,10,537.79,True,30.0,1,0,,2026-01-13
111,2023-12-04,starter,10,277.02,True,44.0,1,0,,2025-12-04
112,2024-11-08,pro,1,1879.41,True,24.0,1,1,CSM015,2025-11-08
113,2025-01-31,pro,15,2504.35,True,,0,1,CSM007,2026-01-31
114,2024-08-05,pro,20,2358.1,True,22.0,0,1,CSM009,2026-08-05
115,2023-09-25,pro,40,3059.19,False,-49.0,2,1,CSM004,2025-09-26
116,2023-12-01,pro,80,2802.45,False,12.0,1,1,CSM008,2025-08-14
117,2025-05-11,starter,2,141.49,True,64.0,3,0,,2026-05-11
118,2024-11-13,starter,3,341.72,False,27.0,0,0,,2025-08-25
119,2023-09-30,pro,25,2512.79,True,41.0,0,0,,2025-09-30
120,2024-08-02,starter,2,155.19,True,28.0,0,0,,2026-08-02
121,2025-06-08,pro,3,769.9,True,53.0,4,1,CSM006,2026-06-08
122,2025-01-22,pro,15,2828.02,True,-4.0,5,0,,2026-01-22
123,2024-02-05,starter,2,436.29,True,39.0,1,1,CSM008,2026-02-05
124,2024-07-12,starter,40,668.43,False,6.0,0,0,,2025-09-29
125,2024-03-13,pro,50,2678.29,True,-10.0,1,1,CSM009,2026-03-13
126,2023-10-18,starter,1,434.9,False,-27.0,0,0,,2025-09-30
127,2024-12-22,starter,15,160.3,True,,0,0,,2025-12-22
128,2024-02-29,pro,40,2666.04,False,,0,1,CSM011,2025-08-18
129,2024-03-16,starter,80,481.38,True,-11.0,0,0,,2026-03-16
130,2023-11-16,starter,4,164.43,True,13.0,1,0,,2025-11-16
131,2024-07-21,starter,2,518.69,True,55.0,0,0,,2026-07-21
132,2025-07-03,premium,50,13904.77,True,43.0,7,1,CSM009,2026-07-03
133,2025-05-28,starter,60,212.35,True,64.0,3,0,,2026-05-28
134,2025-01-29,premium,3,5871.48,False,-25.0,4,1,CSM013,2025-08-26
135,2025-03-21,premium,10,18658.58,True,29.0,6,1,CSM006,2026-03-21
136,2024-02-03,starter,30,225.8,True,37.0,0,0,,2026-02-03
137,2025-06-20,starter,50,586.31,True,33.0,5,0,,2026-06-20
138,2024-06-11,starter,2,528.54,True,34.0,1,0,,2026-06-11
139,2023-08-26,pro,25,999.11,True,55.0,0,1,CSM004,2026-08-26
140,2025-06-04,premium,40,10903.79,True,45.0,4,1,CSM001,2026-06-04
141,2024-05-12,starter,15,577.91,True,42.0,0,1,CSM013,2026-05-12
142,2023-10-18,pro,2,2676.71,True,42.0,0,1,CSM010,2025-10-18
143,2024-03-08,pro,1,1291.92,False,-15.0,1,1,CSM013,2025-08-17
144,2025-06-10,premium,4,12404.28,True,-24.0,9,1,CSM012,2026-06-10
145,2024-04-02,pro,40,1951.91,True,74.0,0,1,CSM004,2026-04-02
146,2023-09-14,premium,1,22868.46,True,-2.0,0,1,CSM007,2026-09-14
147,2024-09-12,starter,0,471.53,True,47.0,0,0,,2026-09-12
148,2024-07-06,pro,5,1319.07,False,-24.0,1,0,,2025-09-16
149,2023-09-28,starter,1,320.73,True,59.0,0,1,CSM008,2026-09-28
150,2024-03-09,pro,2,2972.54,True,32.0,0,1,CSM014,2026-03-09
151,2024-02-23,starter,1,389.45,True,43.0,0,0,,2026-02-23
152,2024-05-27,pro,15,838.94,True,34.0,0,0,,2026-05-27
153,2024-08-09,pro,25,1898.06,True,16.0,0,1,CSM013,2026-08-09
154,2024-04-14,starter,10,402.08,True,21.0,0,0,,2026-04-14
155,2024-02-12,starter,2,165.36,False,-6.0,1,0,,2025-09-08
156,2024-02-08,pro,5,1112.27,True,45.0,0,1,CSM010,2026-02-08
157,2023-09-08,starter,20,525.8,True,60.0,0,0,,2026-09-08
158,2024-01-19,starter,80,209.7,False,-49.0,0,0,,2025-09-18
159,2024-03-06,starter,100,542.44,True,5.0,1,1,CSM015,2026-03-06
160,2024-11-08,starter,3,558.72,True,,0,0,,2025-11-08
161,2024-05-20,starter,0,269.77,False,-25.0,0,1,CSM011,2025-08-22
162,2025-03-17,starter,50,405.12,True,27.0,6,0,,2026-03-17
163,2025-02-10,premium,60,17272.21,True,3.0,9,1,CSM013,2026-02-10
